dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,num_queries,avg_pool_min_reranked_for_recall10_p0.8,median_pool_min_reranked_for_recall10_p0.8,reachable_frac_pool_min_reranked_for_recall10_p0.8,avg_pool_min_reranked_for_recall100_p0.8,median_pool_min_reranked_for_recall100_p0.8,reachable_frac_pool_min_reranked_for_recall100_p0.8,avg_pool_min_reranked_for_recall10_p0.9,median_pool_min_reranked_for_recall10_p0.9,reachable_frac_pool_min_reranked_for_recall10_p0.9,avg_pool_min_reranked_for_recall100_p0.9,median_pool_min_reranked_for_recall100_p0.9,reachable_frac_pool_min_reranked_for_recall100_p0.9
arguana,16,qacos,qacos,64,-1,20,80,37.743589743589745,21.5,0.975,344.4307692307692,285.0,0.8125,52.66233766233766,34.0,0.9625,443.1,389.5,0.625
arguana,16,qacos,qacos,64,-1,50,80,37.743589743589745,21.5,0.975,344.4307692307692,285.0,0.8125,52.66233766233766,34.0,0.9625,443.1,389.5,0.625
arguana,16,qacos,qacos,128,-1,20,80,16.9875,12.0,1.0,214.21794871794873,183.0,0.975,24.5625,16.0,1.0,291.3142857142857,258.0,0.875
arguana,16,qacos,qacos,128,-1,50,80,16.9875,12.0,1.0,214.21794871794873,183.0,0.975,24.5625,16.0,1.0,291.3142857142857,258.0,0.875
arguana,16,simhash,simhash_baseline,64,-1,20,80,77.11688311688312,39.0,0.9625,462.6461538461538,428.0,0.8125,124.11688311688312,55.0,0.9625,573.1162790697674,570.0,0.5375
arguana,16,simhash,simhash_baseline,64,-1,50,80,77.11688311688312,39.0,0.9625,462.6461538461538,428.0,0.8125,124.11688311688312,55.0,0.9625,573.1162790697674,570.0,0.5375
arguana,16,simhash,simhash_baseline,128,-1,20,80,29.3125,17.5,1.0,284.6666666666667,270.0,0.9375,34.379746835443036,22.0,0.9875,418.92424242424244,417.0,0.825
arguana,16,simhash,simhash_baseline,128,-1,50,80,29.3125,17.5,1.0,284.6666666666667,270.0,0.9375,34.379746835443036,22.0,0.9875,418.92424242424244,417.0,0.825
arguana,32,qacos,qacos,64,-1,20,80,38.205128205128204,21.5,0.975,359.53731343283584,297.0,0.8375,53.4025974025974,34.0,0.9625,442.3673469387755,379.0,0.6125
arguana,32,qacos,qacos,64,-1,50,80,38.205128205128204,21.5,0.975,359.53731343283584,297.0,0.8375,53.4025974025974,34.0,0.9625,442.3673469387755,379.0,0.6125
arguana,32,qacos,qacos,128,-1,20,80,17.025,12.0,1.0,214.05128205128204,184.0,0.975,24.6375,16.0,1.0,318.88,280.0,0.9375
arguana,32,qacos,qacos,128,-1,50,80,17.025,12.0,1.0,214.05128205128204,184.0,0.975,24.6375,16.0,1.0,318.88,280.0,0.9375
arguana,32,simhash,simhash_baseline,64,-1,20,80,78.59740259740259,38.0,0.9625,472.2878787878788,453.0,0.825,122.2987012987013,55.0,0.9625,611.2244897959183,600.0,0.6125
arguana,32,simhash,simhash_baseline,64,-1,50,80,78.59740259740259,38.0,0.9625,472.2878787878788,453.0,0.825,122.2987012987013,55.0,0.9625,611.2244897959183,600.0,0.6125
arguana,32,simhash,simhash_baseline,128,-1,20,80,26.2625,18.0,1.0,302.7792207792208,269.0,0.9625,38.0375,21.0,1.0,434.7164179104478,427.0,0.8375
arguana,32,simhash,simhash_baseline,128,-1,50,80,26.2625,18.0,1.0,302.7792207792208,269.0,0.9625,38.0375,21.0,1.0,434.7164179104478,427.0,0.8375
nfcorpus,16,qacos,qacos,64,-1,20,80,207.63076923076923,147.0,0.8125,553.8571428571429,514.0,0.525,263.8135593220339,186.0,0.7375,554.2352941176471,558.0,0.2125
nfcorpus,16,qacos,qacos,64,-1,50,80,207.63076923076923,147.0,0.8125,553.8571428571429,514.0,0.525,263.8135593220339,186.0,0.7375,554.2352941176471,558.0,0.2125
nfcorpus,16,qacos,qacos,128,-1,20,80,110.44444444444444,56.0,0.9,382.96491228070175,338.0,0.7125,126.0,70.0,0.8375,463.0833333333333,444.5,0.45
nfcorpus,16,qacos,qacos,128,-1,50,80,110.44444444444444,56.0,0.9,382.96491228070175,338.0,0.7125,126.0,70.0,0.8375,463.0833333333333,444.5,0.45
nfcorpus,16,simhash,simhash_baseline,64,-1,20,80,323.728813559322,247.0,0.7375,601.0333333333333,590.5,0.375,347.1276595744681,317.0,0.5875,721.7777777777778,734.5,0.225
nfcorpus,16,simhash,simhash_baseline,64,-1,50,80,323.728813559322,247.0,0.7375,601.0333333333333,590.5,0.375,347.1276595744681,317.0,0.5875,721.7777777777778,734.5,0.225
nfcorpus,16,simhash,simhash_baseline,128,-1,20,80,166.57746478873239,101.0,0.8875,484.7169811320755,464.0,0.6625,209.87878787878788,131.5,0.825,591.8333333333334,586.0,0.45
nfcorpus,16,simhash,simhash_baseline,128,-1,50,80,166.57746478873239,101.0,0.8875,484.7169811320755,464.0,0.6625,209.87878787878788,131.5,0.825,591.8333333333334,586.0,0.45
nfcorpus,32,qacos,qacos,64,-1,20,80,231.95454545454547,157.5,0.825,588.3617021276596,537.0,0.5875,290.3015873015873,229.0,0.7875,657.0833333333334,669.5,0.3
nfcorpus,32,qacos,qacos,64,-1,50,80,231.95454545454547,157.5,0.825,588.3617021276596,537.0,0.5875,290.3015873015873,229.0,0.7875,657.0833333333334,669.5,0.3
nfcorpus,32,qacos,qacos,128,-1,20,80,123.98611111111111,56.0,0.9,421.0,375.5,0.775,130.23880597014926,73.0,0.8375,504.625,476.5,0.5
nfcorpus,32,qacos,qacos,128,-1,50,80,123.98611111111111,56.0,0.9,421.0,375.5,0.775,130.23880597014926,73.0,0.8375,504.625,476.5,0.5
nfcorpus,32,simhash,simhash_baseline,64,-1,20,80,330.0,259.5,0.75,741.1794871794872,698.0,0.4875,400.84,347.0,0.625,785.3157894736842,749.0,0.2375
nfcorpus,32,simhash,simhash_baseline,64,-1,50,80,330.0,259.5,0.75,741.1794871794872,698.0,0.4875,400.84,347.0,0.625,785.3157894736842,749.0,0.2375
nfcorpus,32,simhash,simhash_baseline,128,-1,20,80,178.55555555555554,114.5,0.9,562.0491803278688,539.0,0.7625,240.98529411764707,139.5,0.85,654.6904761904761,649.5,0.525
