dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,mean_true_cos_coarse_top10,mean_true_cos_coarse_top100,pool_min_reranked_for_recall10_p0.8,pool_min_reranked_for_recall100_p0.8,pool_min_reranked_for_recall10_p0.9,pool_min_reranked_for_recall100_p0.9,pool_recall10_at_prefix_10,pool_recall100_at_prefix_10,pool_recall10_at_prefix_20,pool_recall100_at_prefix_20,pool_recall10_at_prefix_50,pool_recall100_at_prefix_50,pool_recall10_at_prefix_100,pool_recall100_at_prefix_100,pool_recall10_at_prefix_150,pool_recall100_at_prefix_150,pool_recall10_at_prefix_200,pool_recall100_at_prefix_200,pool_recall10_at_prefix_300,pool_recall100_at_prefix_300,pool_recall10_at_prefix_500,pool_recall100_at_prefix_500,mean_recall_at_10,mean_recall_at_100,mean_visited_nodes,mean_upper_hops,mean_lower_pops,mean_lower_pushes,mean_num_reranked_candidates,mean_overlap_top10,mean_overlap_top100,mean_num_coarse_candidates,mean_visited_candidate_pool_size,mean_visited_candidate_pool_size_raw
arguana,16,qacos,qacos,64,-1,20,0.643458042666316,0.4455680279061198,36.8,279.85,50.6875,276.9375,0.5087500000000001,0.08524999999999994,0.695,0.15562499999999996,0.8487499999999997,0.29975000000000007,0.915,0.45199999999999996,0.9500000000000002,0.5556249999999999,0.9650000000000001,0.63175,0.9700000000000001,0.7294999999999999,0.9775,0.8268749999999997,0.915,0.45199999999999996,998.05,5.6375,103.725,272.7625,100.0,5.0875,45.2,100.0,998.05,998.05
arguana,16,qacos,qacos,64,-1,50,0.643458042666316,0.4455680279061198,36.8,279.85,50.6875,276.9375,0.5087500000000001,0.08524999999999994,0.695,0.15562499999999996,0.8487499999999997,0.29975000000000007,0.915,0.45199999999999996,0.9500000000000002,0.5556249999999999,0.9650000000000001,0.63175,0.9700000000000001,0.7294999999999999,0.9775,0.8268749999999997,0.915,0.45199999999999996,998.05,5.6375,103.725,272.7625,100.0,5.0875,45.2,100.0,998.05,998.05
arguana,16,qacos,qacos,128,-1,20,0.7042503315955401,0.48950006198137996,16.9875,208.8625,24.5625,254.9,0.6774999999999999,0.09787499999999985,0.8787500000000001,0.18812499999999982,0.9625,0.3873750000000001,0.9862500000000001,0.5945000000000003,0.9925,0.7181250000000001,0.99875,0.7941250000000002,0.99875,0.8777500000000004,1.0,0.935125,0.9862500000000001,0.5945000000000003,927.3125,6.0125,102.975,255.8375,100.0,6.775,59.45,100.0,927.3125,927.3125
arguana,16,qacos,qacos,128,-1,50,0.7042503315955401,0.48950006198137996,16.9875,208.8625,24.5625,254.9,0.6774999999999999,0.09787499999999985,0.8787500000000001,0.18812499999999982,0.9625,0.3873750000000001,0.9862500000000001,0.5945000000000003,0.9925,0.7181250000000001,0.99875,0.7941250000000002,0.99875,0.8777500000000004,1.0,0.935125,0.9862500000000001,0.5945000000000003,927.3125,6.0125,102.975,255.8375,100.0,6.775,59.45,100.0,927.3125,927.3125
arguana,16,simhash,simhash_baseline,64,-1,20,0.5990991579834372,0.4134117309935391,74.225,375.9,119.4625,308.05,0.4387499999999999,0.07674999999999996,0.58375,0.13274999999999998,0.7387499999999998,0.252875,0.8237500000000001,0.38062500000000005,0.8625,0.47100000000000025,0.8900000000000002,0.5356249999999998,0.9250000000000002,0.6352500000000002,0.9475,0.7533749999999999,0.81875,0.3733750000000001,1125.2125,5.55,115.9375,265.1625,100.0,4.2625,37.3375,100.0,1125.2125,1125.2125
arguana,16,simhash,simhash_baseline,64,-1,50,0.5990991579834372,0.4134117309935391,74.225,375.9,119.4625,308.05,0.4387499999999999,0.07674999999999996,0.58375,0.13274999999999998,0.7387499999999998,0.252875,0.8237500000000001,0.38062500000000005,0.8625,0.47100000000000025,0.8900000000000002,0.5356249999999998,0.9250000000000002,0.6352500000000002,0.9475,0.7533749999999999,0.81875,0.3733750000000001,1125.2125,5.55,115.9375,265.1625,100.0,4.2625,37.3375,100.0,1125.2125,1125.2125
arguana,16,simhash,simhash_baseline,128,-1,20,0.6779701698571443,0.4661438984796405,29.3125,266.875,33.95,345.6125,0.5924999999999999,0.09337499999999989,0.7799999999999998,0.17162499999999992,0.9324999999999998,0.3432499999999999,0.9775,0.5157499999999999,0.9824999999999999,0.6255000000000003,0.9887499999999999,0.7039999999999998,0.9949999999999999,0.8006249999999999,0.9949999999999999,0.8917499999999998,0.9775,0.5090000000000001,1032.9375,5.7375,111.45,253.5,100.0,5.825,50.9,100.0,1032.9375,1032.9375
arguana,16,simhash,simhash_baseline,128,-1,50,0.6779701698571443,0.4661438984796405,29.3125,266.875,33.95,345.6125,0.5924999999999999,0.09337499999999989,0.7799999999999998,0.17162499999999992,0.9324999999999998,0.3432499999999999,0.9775,0.5157499999999999,0.9824999999999999,0.6255000000000003,0.9887499999999999,0.7039999999999998,0.9949999999999999,0.8006249999999999,0.9949999999999999,0.8917499999999998,0.9775,0.5090000000000001,1032.9375,5.7375,111.45,253.5,100.0,5.825,50.9,100.0,1032.9375,1032.9375
arguana,32,qacos,qacos,64,-1,20,0.6430067881941796,0.44474436463788153,37.25,301.1125,51.4,270.95,0.5087500000000001,0.08512499999999992,0.69375,0.15562499999999996,0.8474999999999996,0.29887499999999995,0.91375,0.4498749999999999,0.9500000000000002,0.5549999999999998,0.9625000000000001,0.6291249999999998,0.9712500000000001,0.7274999999999999,0.9762500000000001,0.8247499999999999,0.91375,0.4498749999999999,1045.3375,5.175,103.125,273.9375,100.0,5.0875,44.9875,100.0,1045.3375,1045.3375
arguana,32,qacos,qacos,64,-1,50,0.6430067881941796,0.44474436463788153,37.25,301.1125,51.4,270.95,0.5087500000000001,0.08512499999999992,0.69375,0.15562499999999996,0.8474999999999996,0.29887499999999995,0.91375,0.4498749999999999,0.9500000000000002,0.5549999999999998,0.9625000000000001,0.6291249999999998,0.9712500000000001,0.7274999999999999,0.9762500000000001,0.8247499999999999,0.91375,0.4498749999999999,1045.3375,5.175,103.125,273.9375,100.0,5.0875,44.9875,100.0,1045.3375,1045.3375
arguana,32,qacos,qacos,128,-1,20,0.704269778355956,0.4894277645274997,17.025,208.7,24.6375,298.95,0.6774999999999999,0.09787499999999985,0.8787500000000001,0.18812499999999982,0.9625,0.38737499999999997,0.9862500000000001,0.5938750000000003,0.9925,0.7173749999999999,0.99875,0.7937500000000001,0.99875,0.8789999999999999,1.0,0.9381250000000001,0.9862500000000001,0.5938750000000003,964.125,5.6125,102.2875,253.375,100.0,6.775,59.3875,100.0,964.125,964.125
arguana,32,qacos,qacos,128,-1,50,0.704269778355956,0.4894277645274997,17.025,208.7,24.6375,298.95,0.6774999999999999,0.09787499999999985,0.8787500000000001,0.18812499999999982,0.9625,0.38737499999999997,0.9862500000000001,0.5938750000000003,0.9925,0.7173749999999999,0.99875,0.7937500000000001,0.99875,0.8789999999999999,1.0,0.9381250000000001,0.9862500000000001,0.5938750000000003,964.125,5.6125,102.2875,253.375,100.0,6.775,59.3875,100.0,964.125,964.125
arguana,32,simhash,simhash_baseline,64,-1,20,0.5996992872096598,0.4130580241791904,75.65,389.6375,117.7125,374.375,0.44125,0.07749999999999994,0.59,0.135125,0.7399999999999998,0.25425,0.8212500000000003,0.381375,0.8675,0.4708750000000001,0.8850000000000003,0.5360000000000003,0.9225000000000001,0.6328750000000001,0.95,0.7506250000000001,0.8175000000000001,0.3733749999999998,1182.4,5.025,115.525,264.675,100.0,4.2625,37.3375,100.0,1182.4,1182.4
arguana,32,simhash,simhash_baseline,64,-1,50,0.5996992872096598,0.4130580241791904,75.65,389.6375,117.7125,374.375,0.44125,0.07749999999999994,0.59,0.135125,0.7399999999999998,0.25425,0.8212500000000003,0.381375,0.8675,0.4708750000000001,0.8850000000000003,0.5360000000000003,0.9225000000000001,0.6328750000000001,0.95,0.7506250000000001,0.8175000000000001,0.3733749999999998,1182.4,5.025,115.525,264.675,100.0,4.2625,37.3375,100.0,1182.4,1182.4
