dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,num_queries,avg_pool_min_reranked_for_recall10_p0.8,median_pool_min_reranked_for_recall10_p0.8,reachable_frac_pool_min_reranked_for_recall10_p0.8,avg_pool_min_reranked_for_recall100_p0.8,median_pool_min_reranked_for_recall100_p0.8,reachable_frac_pool_min_reranked_for_recall100_p0.8,avg_pool_min_reranked_for_recall10_p0.9,median_pool_min_reranked_for_recall10_p0.9,reachable_frac_pool_min_reranked_for_recall10_p0.9,avg_pool_min_reranked_for_recall100_p0.9,median_pool_min_reranked_for_recall100_p0.9,reachable_frac_pool_min_reranked_for_recall100_p0.9
fiqa,16,qacos,qacos,64,-1,20,80,197.36986301369862,144.0,0.9125,662.9803921568628,592.0,0.6375,295.72857142857146,229.5,0.875,780.6923076923077,739.5,0.325
fiqa,16,qacos,qacos,64,-1,50,80,197.36986301369862,144.0,0.9125,662.9803921568628,592.0,0.6375,295.72857142857146,229.5,0.875,780.6923076923077,739.5,0.325
fiqa,16,qacos,qacos,128,-1,20,80,68.3896103896104,37.0,0.9625,389.1267605633803,348.0,0.8875,105.65753424657534,61.0,0.9125,569.3518518518518,485.0,0.675
fiqa,16,qacos,qacos,128,-1,50,80,68.3896103896104,37.0,0.9625,389.1267605633803,348.0,0.8875,105.65753424657534,61.0,0.9125,569.3518518518518,485.0,0.675
fiqa,16,simhash,simhash_baseline,64,-1,20,80,317.2586206896552,262.0,0.725,904.2941176470588,907.0,0.425,436.037037037037,375.0,0.675,1040.125,1020.5,0.2
fiqa,16,simhash,simhash_baseline,64,-1,50,80,317.2586206896552,262.0,0.725,904.2941176470588,907.0,0.425,436.037037037037,375.0,0.675,1040.125,1020.5,0.2
fiqa,16,simhash,simhash_baseline,128,-1,20,80,138.80769230769232,90.0,0.975,570.031746031746,496.0,0.7875,216.52702702702703,130.0,0.925,729.8780487804878,683.0,0.5125
fiqa,16,simhash,simhash_baseline,128,-1,50,80,138.80769230769232,90.0,0.975,570.031746031746,496.0,0.7875,216.52702702702703,130.0,0.925,729.8780487804878,683.0,0.5125
fiqa,32,qacos,qacos,64,-1,20,80,236.97222222222223,162.0,0.9,861.2539682539683,731.0,0.7875,327.15942028985506,263.0,0.8625,1040.6666666666667,942.0,0.45
fiqa,32,qacos,qacos,64,-1,50,80,236.97222222222223,162.0,0.9,861.2539682539683,731.0,0.7875,327.15942028985506,263.0,0.8625,1040.6666666666667,942.0,0.45
fiqa,32,qacos,qacos,128,-1,20,80,74.44871794871794,38.5,0.975,402.71830985915494,341.0,0.8875,121.31168831168831,62.0,0.9625,607.0952380952381,517.0,0.7875
fiqa,32,qacos,qacos,128,-1,50,80,74.44871794871794,38.5,0.975,402.71830985915494,341.0,0.8875,121.31168831168831,62.0,0.9625,607.0952380952381,517.0,0.7875
fiqa,32,simhash,simhash_baseline,64,-1,20,80,436.26984126984127,288.0,0.7875,1201.7608695652175,1104.5,0.575,546.45,440.5,0.75,1221.5238095238096,1138.0,0.2625
fiqa,32,simhash,simhash_baseline,64,-1,50,80,436.26984126984127,288.0,0.7875,1201.7608695652175,1104.5,0.575,546.45,440.5,0.75,1221.5238095238096,1138.0,0.2625
fiqa,32,simhash,simhash_baseline,128,-1,20,80,163.3846153846154,91.5,0.975,655.1014492753624,508.0,0.8625,237.32876712328766,140.0,0.9125,818.9215686274509,791.0,0.6375
fiqa,32,simhash,simhash_baseline,128,-1,50,80,163.3846153846154,91.5,0.975,655.1014492753624,508.0,0.8625,237.32876712328766,140.0,0.9125,818.9215686274509,791.0,0.6375
