dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,mean_true_cos_coarse_top10,mean_true_cos_coarse_top100,pool_min_reranked_for_recall10_p0.8,pool_min_reranked_for_recall100_p0.8,pool_min_reranked_for_recall10_p0.9,pool_min_reranked_for_recall100_p0.9,pool_recall10_at_prefix_10,pool_recall100_at_prefix_10,pool_recall10_at_prefix_20,pool_recall100_at_prefix_20,pool_recall10_at_prefix_50,pool_recall100_at_prefix_50,pool_recall10_at_prefix_100,pool_recall100_at_prefix_100,pool_recall10_at_prefix_150,pool_recall100_at_prefix_150,pool_recall10_at_prefix_200,pool_recall100_at_prefix_200,pool_recall10_at_prefix_300,pool_recall100_at_prefix_300,pool_recall10_at_prefix_500,pool_recall100_at_prefix_500,mean_recall_at_10,mean_recall_at_100,mean_visited_nodes,mean_upper_hops,mean_lower_pops,mean_lower_pushes,mean_num_reranked_candidates,mean_overlap_top10,mean_overlap_top100,mean_num_coarse_candidates,mean_visited_candidate_pool_size,mean_visited_candidate_pool_size_raw
fiqa,16,qacos,qacos,64,-1,20,0.43151281755417586,0.3541829943656921,180.1,422.65,258.7625,253.725,0.22624999999999998,0.05299999999999998,0.31875,0.091,0.485,0.18162499999999998,0.6287499999999998,0.29137500000000005,0.6987499999999998,0.367875,0.7474999999999998,0.4278750000000002,0.8049999999999997,0.5275000000000001,0.8637499999999996,0.6512499999999999,0.6287499999999998,0.29137500000000005,1671.6375,6.875,106.85,358.0375,100.0,2.2625,29.1375,100.0,1671.6375,1671.6375
fiqa,16,qacos,qacos,64,-1,50,0.43151281755417586,0.3541829943656921,180.1,422.65,258.7625,253.725,0.22624999999999998,0.05299999999999998,0.31875,0.091,0.485,0.18162499999999998,0.6287499999999998,0.29137500000000005,0.6987499999999998,0.367875,0.7474999999999998,0.4278750000000002,0.8049999999999997,0.5275000000000001,0.8637499999999996,0.6512499999999999,0.6287499999999998,0.29137500000000005,1671.6375,6.875,106.85,358.0375,100.0,2.2625,29.1375,100.0,1671.6375,1671.6375
fiqa,16,qacos,qacos,128,-1,20,0.5138972144573927,0.4109851822257042,65.825,345.35,96.4125,384.3125,0.4149999999999999,0.07849999999999996,0.5724999999999996,0.14387500000000003,0.74625,0.2872499999999999,0.8575000000000002,0.45025000000000004,0.8999999999999998,0.5551249999999998,0.9174999999999999,0.6255000000000001,0.9400000000000001,0.72725,0.96125,0.8242499999999996,0.8575000000000002,0.45025000000000004,1507.975,7.5,105.225,323.9,100.0,4.15,45.025,100.0,1507.975,1507.975
fiqa,16,qacos,qacos,128,-1,50,0.5138972144573927,0.4109851822257042,65.825,345.35,96.4125,384.3125,0.4149999999999999,0.07849999999999996,0.5724999999999996,0.14387500000000003,0.74625,0.2872499999999999,0.8575000000000002,0.45025000000000004,0.8999999999999998,0.5551249999999998,0.9174999999999999,0.6255000000000001,0.9400000000000001,0.72725,0.96125,0.8242499999999996,0.8575000000000002,0.45025000000000004,1507.975,7.5,105.225,323.9,100.0,4.15,45.025,100.0,1507.975,1507.975
fiqa,16,simhash,simhash_baseline,64,-1,20,0.36611451487988234,0.30199852110818026,230.0125,384.325,294.325,208.025,0.1499999999999999,0.035874999999999976,0.20374999999999993,0.05924999999999997,0.32125,0.12149999999999994,0.42124999999999996,0.19262500000000002,0.49125000000000013,0.24974999999999997,0.5437500000000001,0.29949999999999993,0.62625,0.37925000000000003,0.7074999999999998,0.48512500000000003,0.40874999999999984,0.18949999999999995,1972.875,6.7375,122.8375,345.325,100.0,1.4875,18.95,100.0,1972.875,1972.875
fiqa,16,simhash,simhash_baseline,64,-1,50,0.36611451487988234,0.30199852110818026,230.0125,384.325,294.325,208.025,0.1499999999999999,0.035874999999999976,0.20374999999999993,0.05924999999999997,0.32125,0.12149999999999994,0.42124999999999996,0.19262500000000002,0.49125000000000013,0.24974999999999997,0.5437500000000001,0.29949999999999993,0.62625,0.37925000000000003,0.7074999999999998,0.48512500000000003,0.40874999999999984,0.18949999999999995,1972.875,6.7375,122.8375,345.325,100.0,1.4875,18.95,100.0,1972.875,1972.875
fiqa,16,simhash,simhash_baseline,128,-1,20,0.47736454382538795,0.3847775239497423,135.3375,448.9,200.2875,374.0625,0.315,0.06712499999999998,0.46125000000000005,0.12112500000000001,0.62,0.2353750000000001,0.7462499999999996,0.36875,0.8074999999999998,0.45874999999999977,0.85375,0.525625,0.8887499999999997,0.6223750000000001,0.9337499999999999,0.7346250000000002,0.7362499999999998,0.36487500000000006,1695.125,6.8875,116.75,327.6,100.0,3.1125,36.4875,100.0,1695.125,1695.125
fiqa,16,simhash,simhash_baseline,128,-1,50,0.47736454382538795,0.3847775239497423,135.3375,448.9,200.2875,374.0625,0.315,0.06712499999999998,0.46125000000000005,0.12112500000000001,0.62,0.2353750000000001,0.7462499999999996,0.36875,0.8074999999999998,0.45874999999999977,0.85375,0.525625,0.8887499999999997,0.6223750000000001,0.9337499999999999,0.7346250000000002,0.7362499999999998,0.36487500000000006,1695.125,6.8875,116.75,327.6,100.0,3.1125,36.4875,100.0,1695.125,1695.125
fiqa,32,qacos,qacos,64,-1,20,0.42382090333849193,0.3476099886931479,213.275,678.2375,282.175,468.3,0.21749999999999994,0.050749999999999976,0.30374999999999996,0.08762499999999998,0.46125,0.17374999999999996,0.5937500000000002,0.27712499999999995,0.6749999999999998,0.35037500000000016,0.7224999999999999,0.4121250000000001,0.7899999999999998,0.5040000000000002,0.8449999999999998,0.6276250000000003,0.5937500000000002,0.27712499999999995,2354.5875,6.025,105.1125,385.725,100.0,2.175,27.7125,100.0,2354.5875,2354.5875
fiqa,32,qacos,qacos,64,-1,50,0.42382090333849193,0.3476099886931479,213.275,678.2375,282.175,468.3,0.21749999999999994,0.050749999999999976,0.30374999999999996,0.08762499999999998,0.46125,0.17374999999999996,0.5937500000000002,0.27712499999999995,0.6749999999999998,0.35037500000000016,0.7224999999999999,0.4121250000000001,0.7899999999999998,0.5040000000000002,0.8449999999999998,0.6276250000000003,0.5937500000000002,0.27712499999999995,2354.5875,6.025,105.1125,385.725,100.0,2.175,27.7125,100.0,2354.5875,2354.5875
