bits,dataset,target_metric,simhash_to_qacos,reduction
64,arguana,R@10=0.8,77.9 -> 38.0,39.9 (51.2%)
64,arguana,R@100=0.8,467.5 -> 352.0,115.5 (24.7%)
64,arguana,R@10=0.9,123.2 -> 53.0,70.2 (57.0%)
64,arguana,R@100=0.9,592.2 -> 442.7,149.4 (25.2%)
64,fiqa,R@10=0.8,376.8 -> 217.2,159.6 (42.4%)
64,fiqa,R@100=0.8,1053.0 -> 762.1,290.9 (27.6%)
64,fiqa,R@10=0.9,491.2 -> 311.4,179.8 (36.6%)
64,fiqa,R@100=0.9,1130.8 -> 910.7,220.1 (19.5%)
64,nfcorpus,R@10=0.8,326.9 -> 219.8,107.1 (32.8%)
64,nfcorpus,R@100=0.8,671.1 -> 571.1,100.0 (14.9%)
64,nfcorpus,R@10=0.9,374.0 -> 277.1,96.9 (25.9%)
64,nfcorpus,R@100=0.9,753.5 -> 605.7,147.9 (19.6%)
64,scifact,R@10=0.8,275.5 -> 184.8,90.7 (32.9%)
64,scifact,R@100=0.8,710.1 -> 580.5,129.5 (18.2%)
64,scifact,R@10=0.9,355.9 -> 208.5,147.4 (41.4%)
64,scifact,R@100=0.9,852.0 -> 682.8,169.2 (19.9%)
128,arguana,R@10=0.8,27.8 -> 17.0,10.8 (38.8%)
128,arguana,R@100=0.8,293.7 -> 214.1,79.6 (27.1%)
128,arguana,R@10=0.9,36.2 -> 24.6,11.6 (32.1%)
128,arguana,R@100=0.9,426.8 -> 305.1,121.7 (28.5%)
128,fiqa,R@10=0.8,151.1 -> 71.4,79.7 (52.7%)
128,fiqa,R@100=0.8,612.6 -> 395.9,216.6 (35.4%)
128,fiqa,R@10=0.9,226.9 -> 113.5,113.4 (50.0%)
128,fiqa,R@100=0.9,774.4 -> 588.2,186.2 (24.0%)
128,nfcorpus,R@10=0.8,172.6 -> 117.2,55.4 (32.1%)
128,nfcorpus,R@100=0.8,523.4 -> 402.0,121.4 (23.2%)
128,nfcorpus,R@10=0.9,225.4 -> 128.1,97.3 (43.2%)
128,nfcorpus,R@100=0.9,623.3 -> 483.9,139.4 (22.4%)
128,scifact,R@10=0.8,153.9 -> 78.1,75.7 (49.2%)
128,scifact,R@100=0.8,489.2 -> 397.0,92.2 (18.8%)
128,scifact,R@10=0.9,219.6 -> 123.1,96.5 (44.0%)
128,scifact,R@100=0.9,623.4 -> 484.7,138.7 (22.2%)
