bits,dataset,metric,simhash,qacos,delta
64,arguana,R@10,0.818,0.914,+0.096
64,arguana,R@100,0.373,0.451,+0.078
64,arguana,Ov@10,4.263,5.087,+0.825
64,arguana,Ov@100,37.338,45.200,+7.863
64,fiqa,R@10,0.408,0.611,+0.203
64,fiqa,R@100,0.187,0.284,+0.098
64,fiqa,Ov@10,1.481,2.219,+0.738
64,fiqa,Ov@100,18.662,28.425,+9.762
64,nfcorpus,R@10,0.423,0.542,+0.119
64,nfcorpus,R@100,0.207,0.272,+0.065
64,nfcorpus,Ov@10,1.213,1.981,+0.769
64,nfcorpus,Ov@100,20.675,27.212,+6.537
64,scifact,R@10,0.578,0.699,+0.121
64,scifact,R@100,0.264,0.332,+0.068
64,scifact,Ov@10,2.175,2.794,+0.619
64,scifact,Ov@100,26.394,33.194,+6.800
128,arguana,R@10,0.977,0.986,+0.009
128,arguana,R@100,0.509,0.594,+0.086
128,arguana,Ov@10,5.825,6.775,+0.950
128,arguana,Ov@100,50.900,59.450,+8.550
128,fiqa,R@10,0.727,0.855,+0.128
128,fiqa,R@100,0.361,0.448,+0.087
128,fiqa,Ov@10,3.075,4.144,+1.069
128,fiqa,Ov@100,36.100,44.763,+8.663
128,nfcorpus,R@10,0.656,0.743,+0.087
128,nfcorpus,R@100,0.327,0.399,+0.072
128,nfcorpus,Ov@10,2.713,3.450,+0.738
128,nfcorpus,Ov@100,32.675,39.862,+7.188
128,scifact,R@10,0.719,0.828,+0.108
128,scifact,R@100,0.362,0.436,+0.074
128,scifact,Ov@10,3.100,4.100,+1.000
128,scifact,Ov@100,36.087,43.569,+7.481
