dataset,bits,M,efSearch,scorer,mean_search_ms,mean_rerank_ms,mean_total_ms,p50_total_ms,p95_total_ms,Recall@10,Recall@100,top10_overlap,top100_overlap,mean_visited_nodes,mean_num_reranked,num_points
fiqa,128,32,100,qacos_gated,0.198950275,0.03646588125,0.23541615624999998,0.228583,0.3068773999999998,0.8487500000000001,0.44475,3.9875,44.475,2041.4625,100.0,160
fiqa,128,32,150,qacos_gated,0.2563375,0.05464586874999999,0.31098336875,0.29506299999999996,0.41728989999999977,0.8887500000000002,0.5325,3.9375,43.6,2825.25,150.0,160
fiqa,128,32,200,qacos_gated,0.30750206249999995,0.07123520624999999,0.37873726875,0.370979,0.4984826499999999,0.9162500000000001,0.595875,3.95,42.975,3595.4,200.0,160
fiqa,128,32,300,qacos_gated,0.4011482,0.09804793125,0.49919613125,0.490145,0.6032256499999998,0.9425000000000001,0.6797500000000001,3.975,42.2875,5011.175,300.0,160
fiqa,128,32,400,qacos_gated,0.51716071875,0.13488069375,0.6520414125,0.6318755,0.8518886499999999,0.9525,0.737375,3.925,42.2,6336.8875,400.0,160
fiqa,128,32,500,qacos_gated,0.6334856875,0.1705489625,0.80403465,0.777917,1.11650115,0.96875,0.776875,3.95,42.025,7555.775,500.0,160
fiqa,128,32,700,qacos_gated,0.8191443125,0.229829475,1.0489737875,1.0231249999999998,1.3524937499999998,0.9800000000000001,0.8248750000000001,3.9375,41.875,9849.3,700.0,160
fiqa,128,32,1000,qacos_gated,1.1606234,0.33930570625,1.49992910625,1.4101029999999999,2.197416599999998,0.9875,0.8720000000000001,3.925,41.7375,12958.1625,1000.0,160
fiqa,128,32,1200,qacos_gated,1.130372875,0.390333825,1.5207067,1.485312,1.8187294999999999,0.99,0.890625,3.9625,41.725,14831.175,1200.0,80
fiqa,128,32,1500,qacos_gated,1.3208552,0.4983119875,1.8191671874999997,1.7792915,2.23880005,0.99375,0.9101250000000001,3.9625,41.6875,17447.3125,1500.0,80
fiqa,128,32,2000,qacos_gated,1.5628620625,0.6480010375,2.2108631,2.2075424999999997,2.5119976,0.9949999999999999,0.9311250000000001,3.9625,41.675,21337.5375,2000.0,80
fiqa,128,32,100,simhash,0.07003202500000001,0.033278699999999994,0.103310725,0.0999165,0.12928604999999996,0.7175,0.357125,3.0375,35.7125,2327.625,100.0,160
fiqa,128,32,150,simhash,0.10322578125,0.04904951875000001,0.1522753,0.1451875,0.19297464999999997,0.7762499999999999,0.43162500000000004,3.0625,34.5125,3236.5125,150.0,160
fiqa,128,32,200,simhash,0.13494684375000002,0.09873465625,0.23368149999999996,0.2041875,0.379218449999999,0.8074999999999999,0.48287499999999994,3.05,33.8625,4103.4625,200.0,160
fiqa,128,32,300,simhash,0.1814497625,0.10232708125000001,0.28377684375,0.27391699999999997,0.34762149999999997,0.8587499999999999,0.559125,3.0,33.0375,5708.1875,300.0,160
fiqa,128,32,400,simhash,0.25311871875,0.13758019999999999,0.39069891874999996,0.3796665,0.48349549999999997,0.8862500000000001,0.6126250000000001,3.0125,32.9125,7239.975,400.0,160
fiqa,128,32,500,simhash,0.3176336,0.1660580625,0.48369166250000006,0.4701245,0.5978160499999997,0.89875,0.651375,3.0375,32.575,8600.4125,500.0,160
fiqa,128,32,700,simhash,0.4359074874999999,0.264215625,0.7001231125,0.6845415,0.8601735499999998,0.925,0.709375,3.0,32.0625,11228.5875,700.0,160
fiqa,128,32,1000,simhash,0.6122065250000001,0.3461934625,0.9583999875,0.9486665000000001,1.1207124999999998,0.9375,0.7613749999999999,3.075,31.9,14574.9875,1000.0,160
fiqa,128,32,1200,simhash,0.6491000250000001,0.40666351249999994,1.0557635375,1.033375,1.2068283499999999,0.9525000000000002,0.787875,2.95,32.0,16793.725,1200.0,80
fiqa,128,32,1500,simhash,0.8434984750000002,0.49236566249999997,1.3358641375,1.3144995,1.5349277,0.9675,0.8185,3.0,31.9625,19545.625,1500.0,80
fiqa,128,32,2000,simhash,1.0591812250000001,0.62221035,1.681391575,1.6409375000000002,1.98533815,0.975,0.84925,3.0125,31.7625,23784.725,2000.0,80
