dataset,bits,M,target_metric,target_value,storage_mode,simhash_ef,qacos_gated_ef,simhash_total_ms,qacos_gated_total_ms,delta_total_ms_q_minus_s,simhash_rerank_ms,qacos_gated_rerank_ms,delta_rerank_ms_q_minus_s,simhash_search_ms,qacos_gated_search_ms,simhash_visited,qacos_gated_visited,simhash_achieved,qacos_gated_achieved
fiqa,128,16,Recall@10,0.8,cache_limited,200,75,0.22769841666666668,0.24485919166666667,0.01716077499999999,0.1005046875,0.05395661250000001,-0.04654807499999999,0.12719372916666666,0.19090257916666667,2977.15,1175.525,0.81625,0.8100000000000002
fiqa,128,16,Recall@10,0.8,warm_cache,200,75,0.19819325000000002,0.19736696666666667,-0.0008262833333333441,0.08241060833333333,0.04313555833333333,-0.03927505,0.11578264166666669,0.15423140833333332,2977.15,1175.525,0.81625,0.8100000000000002
fiqa,128,16,Recall@10,0.9,cache_limited,400,200,0.3916239208333333,0.3599553541666667,-0.03166856666666662,0.17854058750000001,0.0902743,-0.08826628750000001,0.21308333333333335,0.2696810541666667,5340.5625,2636.7875,0.9037500000000002,0.91875
fiqa,128,16,Recall@10,0.9,warm_cache,400,200,0.36399166250000003,0.35836798750000004,-0.005623674999999995,0.14972742916666668,0.07901679583333333,-0.07071063333333334,0.21426423333333336,0.27935119166666667,5340.5625,2636.7875,0.9037500000000002,0.91875
fiqa,128,32,Recall@10,0.8,cache_limited,200,75,0.2745274458333334,0.2125817625,-0.06194568333333339,0.08210400416666667,0.039027945833333334,-0.04307605833333334,0.19242344166666667,0.17355381666666667,4136.35,1620.4375,0.8137500000000001,0.8125
fiqa,128,32,Recall@10,0.8,warm_cache,200,75,0.2423347458333333,0.2121472083333333,-0.0301875375,0.08826369166666666,0.0325687375,-0.05569495416666666,0.15407105416666667,0.17957847083333334,4136.35,1620.4375,0.8137500000000001,0.8125
fiqa,128,32,Recall@10,0.9,cache_limited,500,200,0.5692267333333334,0.4286524,-0.1405743333333334,0.2338788041666667,0.08842135833333334,-0.14545744583333337,0.3353479291666667,0.3402310416666667,8506.3875,3606.0875,0.9112500000000001,0.91
fiqa,128,32,Recall@10,0.9,warm_cache,500,200,0.5122460583333334,0.41942137083333336,-0.0928246875,0.18700943333333334,0.07907150833333333,-0.107937925,0.325236625,0.3403498625,8506.3875,3606.0875,0.9112500000000001,0.91
nfcorpus,128,16,Recall@10,0.8,cache_limited,300,200,0.25322934999999996,0.26742213749999993,0.01419278749999997,0.1491315875,0.12576097916666668,-0.02337060833333332,0.1040977625,0.14166115833333331,2114.8875,1566.9875,0.8112499999999999,0.8112499999999999
nfcorpus,128,16,Recall@10,0.8,warm_cache,300,200,0.1826617166666667,0.18864465833333333,0.00598294166666663,0.08059767916666667,0.05298803333333333,-0.027609645833333342,0.10206403750000001,0.13565662500000003,2114.8875,1566.9875,0.8112499999999999,0.8112499999999999
nfcorpus,128,32,Recall@10,0.8,cache_limited,300,200,0.23151276666666665,0.212383675,-0.019129091666666653,0.11295117083333332,0.0745828,-0.03836837083333332,0.11856159583333332,0.13780087500000002,2229.45,1687.7125,0.8112499999999999,0.8137500000000001
nfcorpus,128,32,Recall@10,0.8,warm_cache,300,200,0.16924514166666665,0.17721114166666668,0.007966000000000029,0.06655120416666667,0.04094236666666666,-0.02560883750000001,0.1026939375,0.13626877499999998,2229.45,1687.7125,0.8112499999999999,0.8137500000000001
