dataset,bits,M,target_metric,target_value,scorer,chosen_efSearch,storage_mode,mean_search_ms,mean_rerank_ms,mean_total_ms,p50_total_ms,p95_total_ms,achieved_metric,Recall@100,top10_overlap,top100_overlap,mean_visited_nodes,mean_num_reranked,num_points
fiqa,128,16,Recall@10,0.8,qacos_gated,75,cache_limited,0.19090257916666667,0.05395661250000001,0.24485919166666667,0.2062295,0.40192435,0.8100000000000002,0.38262500000000005,3.9875,38.2625,1175.525,75.0,240
fiqa,128,16,Recall@10,0.8,qacos_gated,75,warm_cache,0.15423140833333332,0.04313555833333333,0.19736696666666667,0.187896,0.3007377999999999,0.8100000000000002,0.38262500000000005,3.9875,38.2625,1175.525,75.0,240
fiqa,128,16,Recall@10,0.8,simhash,200,cache_limited,0.12719372916666666,0.1005046875,0.22769841666666668,0.218833,0.3083917,0.81625,0.484875,3.0875,33.175,2977.15,200.0,240
fiqa,128,16,Recall@10,0.8,simhash,200,warm_cache,0.11578264166666669,0.08241060833333333,0.19819325000000002,0.19145800000000002,0.25592085,0.81625,0.484875,3.0875,33.175,2977.15,200.0,240
fiqa,128,16,Recall@10,0.9,qacos_gated,200,cache_limited,0.2696810541666667,0.0902743,0.3599553541666667,0.348979,0.47756329999999997,0.91875,0.603625,3.95,43.025,2636.7875,200.0,240
fiqa,128,16,Recall@10,0.9,qacos_gated,200,warm_cache,0.27935119166666667,0.07901679583333333,0.35836798750000004,0.3405415,0.504191,0.91875,0.603625,3.95,43.025,2636.7875,200.0,240
fiqa,128,16,Recall@10,0.9,simhash,400,cache_limited,0.21308333333333335,0.17854058750000001,0.3916239208333333,0.382812,0.5056371999999999,0.9037500000000002,0.6191249999999999,3.075,31.8875,5340.5625,400.0,240
fiqa,128,16,Recall@10,0.9,simhash,400,warm_cache,0.21426423333333336,0.14972742916666668,0.36399166250000003,0.35302049999999996,0.46007049999999994,0.9037500000000002,0.6191249999999999,3.075,31.8875,5340.5625,400.0,240
fiqa,128,32,Recall@10,0.8,qacos_gated,75,cache_limited,0.17355381666666667,0.039027945833333334,0.2125817625,0.2032285,0.2962208,0.8125,0.377625,4.0375,37.7625,1620.4375,75.0,240
fiqa,128,32,Recall@10,0.8,qacos_gated,75,warm_cache,0.17957847083333334,0.0325687375,0.2121472083333333,0.202,0.30798124999999993,0.8125,0.377625,4.0375,37.7625,1620.4375,75.0,240
fiqa,128,32,Recall@10,0.8,simhash,200,cache_limited,0.19242344166666667,0.08210400416666667,0.2745274458333334,0.2391045,0.4662732499999998,0.8137500000000001,0.4729999999999999,3.075,32.75,4136.35,200.0,240
fiqa,128,32,Recall@10,0.8,simhash,200,warm_cache,0.15407105416666667,0.08826369166666666,0.2423347458333333,0.235875,0.33408715,0.8137500000000001,0.4729999999999999,3.075,32.75,4136.35,200.0,240
fiqa,128,32,Recall@10,0.9,qacos_gated,200,cache_limited,0.3402310416666667,0.08842135833333334,0.4286524,0.41433299999999995,0.5721073999999998,0.91,0.5957500000000001,3.9375,42.575,3606.0875,200.0,240
fiqa,128,32,Recall@10,0.9,qacos_gated,200,warm_cache,0.3403498625,0.07907150833333333,0.41942137083333336,0.40925,0.5747875,0.91,0.5957500000000001,3.9375,42.575,3606.0875,200.0,240
fiqa,128,32,Recall@10,0.9,simhash,500,cache_limited,0.3353479291666667,0.2338788041666667,0.5692267333333334,0.5531045,0.7121169499999999,0.9112500000000001,0.646125,3.075,31.3375,8506.3875,500.0,240
fiqa,128,32,Recall@10,0.9,simhash,500,warm_cache,0.325236625,0.18700943333333334,0.5122460583333334,0.5000415,0.6369804499999999,0.9112500000000001,0.646125,3.075,31.3375,8506.3875,500.0,240
nfcorpus,128,16,Recall@10,0.8,qacos_gated,200,cache_limited,0.14166115833333331,0.12576097916666668,0.26742213749999993,0.2518335,0.39439549999999995,0.8112499999999999,0.5377500000000001,3.4,37.35,1566.9875,200.0,240
nfcorpus,128,16,Recall@10,0.8,qacos_gated,200,warm_cache,0.13565662500000003,0.05298803333333333,0.18864465833333333,0.1903745,0.24293895,0.8112499999999999,0.5377500000000001,3.4,37.35,1566.9875,200.0,240
nfcorpus,128,16,Recall@10,0.8,simhash,300,cache_limited,0.1040977625,0.1491315875,0.25322934999999996,0.2416045,0.32126604999999997,0.8112499999999999,0.555875,2.6625,31.0125,2114.8875,300.0,240
nfcorpus,128,16,Recall@10,0.8,simhash,300,warm_cache,0.10206403750000001,0.08059767916666667,0.1826617166666667,0.1778545,0.22326104999999996,0.8112499999999999,0.555875,2.6625,31.0125,2114.8875,300.0,240
nfcorpus,128,32,Recall@10,0.8,qacos_gated,200,cache_limited,0.13780087500000002,0.0745828,0.212383675,0.216479,0.26841904999999994,0.8137500000000001,0.53675,3.4,37.2625,1687.7125,200.0,240
nfcorpus,128,32,Recall@10,0.8,qacos_gated,200,warm_cache,0.13626877499999998,0.04094236666666666,0.17721114166666668,0.182292,0.21684935,0.8137500000000001,0.53675,3.4,37.2625,1687.7125,200.0,240
nfcorpus,128,32,Recall@10,0.8,simhash,300,cache_limited,0.11856159583333332,0.11295117083333332,0.23151276666666665,0.216875,0.293525,0.8112499999999999,0.552375,2.6125,30.9,2229.45,300.0,240
nfcorpus,128,32,Recall@10,0.8,simhash,300,warm_cache,0.1026939375,0.06655120416666667,0.16924514166666665,0.16210449999999998,0.22271044999999995,0.8112499999999999,0.552375,2.6125,30.9,2229.45,300.0,240
